sku_id,product_family_key,component,component_resale_value_usd,resale_pct_of_bom_cost,avg_parts_listing_count
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Motherboard,30.5,16.1,21
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Display Panel,75.32,69.9,42
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Battery,10.11,22.8,46
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,RAM Module,17.93,51.6,35
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Storage (SSD/HDD),20.05,39.2,51
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Keyboard/Chassis,9.74,13.0,18
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Power Adapter,7.83,25.9,46
SKU-0002,Dell_i5_Unk_256GB_14-16in,Motherboard,33.56,16.2,41
SKU-0002,Dell_i5_Unk_256GB_14-16in,Display Panel,85.15,64.0,11
SKU-0002,Dell_i5_Unk_256GB_14-16in,Battery,8.91,18.4,9
SKU-0002,Dell_i5_Unk_256GB_14-16in,RAM Module,16.68,40.6,19
SKU-0002,Dell_i5_Unk_256GB_14-16in,Storage (SSD/HDD),24.04,37.7,8
SKU-0002,Dell_i5_Unk_256GB_14-16in,Keyboard/Chassis,11.39,12.9,20
SKU-0002,Dell_i5_Unk_256GB_14-16in,Power Adapter,11.87,28.0,16
SKU-0003,Dell_i5_Unk_128GB_14-16in,Motherboard,46.08,20.5,23
SKU-0003,Dell_i5_Unk_128GB_14-16in,Display Panel,84.43,60.2,28
SKU-0003,Dell_i5_Unk_128GB_14-16in,Battery,10.66,18.7,31
SKU-0003,Dell_i5_Unk_128GB_14-16in,RAM Module,21.4,51.6,26
SKU-0003,Dell_i5_Unk_128GB_14-16in,Storage (SSD/HDD),21.83,34.2,53
SKU-0003,Dell_i5_Unk_128GB_14-16in,Keyboard/Chassis,15.4,16.2,7
SKU-0003,Dell_i5_Unk_128GB_14-16in,Power Adapter,11.93,28.1,11
SKU-0004,AUO_Unknown_Unk_Unk_Unk,Motherboard,28.25,17.1,37
SKU-0004,AUO_Unknown_Unk_Unk_Unk,Display Panel,66.67,55.9,37
SKU-0004,AUO_Unknown_Unk_Unk_Unk,Battery,8.5,21.6,28
SKU-0004,AUO_Unknown_Unk_Unk_Unk,RAM Module,11.74,38.8,17
SKU-0004,AUO_Unknown_Unk_Unk_Unk,Storage (SSD/HDD),18.52,35.3,34
SKU-0004,AUO_Unknown_Unk_Unk_Unk,Keyboard/Chassis,11.49,15.0,32
SKU-0004,AUO_Unknown_Unk_Unk_Unk,Power Adapter,7.5,25.3,31
SKU-0005,LG_Unknown_Unk_Unk_Unk,Motherboard,35.2,20.3,47
SKU-0005,LG_Unknown_Unk_Unk_Unk,Display Panel,52.46,46.7,46
SKU-0005,LG_Unknown_Unk_Unk_Unk,Battery,8.06,20.2,57
SKU-0005,LG_Unknown_Unk_Unk_Unk,RAM Module,13.68,39.7,59
SKU-0005,LG_Unknown_Unk_Unk_Unk,Storage (SSD/HDD),20.94,38.2,5
SKU-0005,LG_Unknown_Unk_Unk_Unk,Keyboard/Chassis,9.81,14.6,39
SKU-0005,LG_Unknown_Unk_Unk_Unk,Power Adapter,7.66,23.1,56
SKU-0006,Dell_i5_Unk_512GB_14-16in,Motherboard,39.32,16.7,14
SKU-0006,Dell_i5_Unk_512GB_14-16in,Display Panel,85.76,58.1,51
SKU-0006,Dell_i5_Unk_512GB_14-16in,Battery,14.22,22.9,30
SKU-0006,Dell_i5_Unk_512GB_14-16in,RAM Module,19.47,50.5,21
SKU-0006,Dell_i5_Unk_512GB_14-16in,Storage (SSD/HDD),28.82,39.4,8
SKU-0006,Dell_i5_Unk_512GB_14-16in,Keyboard/Chassis,15.19,16.2,19
SKU-0006,Dell_i5_Unk_512GB_14-16in,Power Adapter,11.52,26.0,8
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Motherboard,34.53,18.0,18
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Display Panel,77.86,73.2,21
