Brand,Price,Currency,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
other,303.8,$,gray,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,quad core,3.8,GHz,notebook/laptop,2160,1440,windows,ssd,512,gb,1,tb,14,8,gb
dell,400,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.2,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,,unknown,14,,unknown
dell,175,$,black,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","well kept, fully functional, includes battery, ac adapter and power cord.",intel,intel core i5-6300u,2.4,GHz,notebook/laptop,1920,1080,windows,ssd,500,gb,500,gb,14,16,gb
hp,85,$,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Good - Refurbished,"The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details.",1-year allstate warranty. the original hp charger is included.,intel,intel celeron n,2.4,GHz,notebook/laptop,1366,768,chrome,emmc,16,gb,,unknown,11.6,4,gb
dell,101.25,$,other,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",Good - Refurbished,"The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details.",laptops is tested & fully working with some sign of use (scratches and/or marks on case. may have scratches and spots on screen). please note our images are an example of the laptop you will receive. model numbers will vary.windows 10 installed. comes with charger and power lead.,other,intel core i5 6th generation,1.4,GHz,notebook/laptop,1366,768,windows,ssd,,unknown,256,gb,12.5,8,gb
acer,50,$,black,"Touchscreen, Bluetooth",Undefined,Undefined,undefined,other,intel celeron,1.6,GHz,notebook/laptop,1366,768,chrome,ssd,,unknown,16,gb,11.6,4,gb
hp,39.6,$,black,"Bluetooth, Built-in Webcam",Undefined,Undefined,undefined,other,intel celeron,1.6,GHz,notebook/laptop,,,chrome,ssd,16,gb,16,gb,11.6,4,gb
acer,35,$,gray,,Undefined,Undefined,undefined,other,intel celeron dual-core,1,GHz,notebook/laptop,,,chrome,unknown,16,gb,,unknown,11.6,2,gb
dell,280,$,black,Wi-Fi,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,other,i7 7th,2.8,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,500,gb,14,16,gb
hp,125,$,silver,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Undefined,Undefined,undefined,intel,intel core i3 10th generation,2.1,GHz,notebook/laptop,1920,1080,chrome,emmc,,unknown,64,gb,14,8,gb
lenovo,138,$,black,"Built-in Microphone,  Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","very good condition. very good performance, the power adapter is included, and freshly installed windows 11 pro, 14"" fhd (1920x1080), anti-glare.",intel,"8350u,  core i5",1.7,GHz,notebook/laptop,1920,1080,windows,ssd,,unknown,128,gb,14,16,gb
samsung,430.5,$,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,intel core i5 12th generation,,unknown,other,,,unknown,unknown,,unknown,,unknown,13.3,,unknown
acer,70,$,silver,Bluetooth,Undefined,Undefined,undefined,intel,intel celeron n,1.1,GHz,notebook/laptop,1366,768,chrome,emmc,,unknown,32,gb,11.6,4,gb
other,152,$,gray,Wi-Fi,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel celeron processor n4100,2.8,GHz,notebook/laptop,1920,1080,windows,ssd,256,gb,256,gb,14.1,8,gb
other,244,$,gray,"Backlit Keyboard, Bluetooth, Built-in Microphone, Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5-8259u,3.8,GHz,notebook/laptop,2160,1440,windows,hdd/ssd,512,gb,512,gb,14,8,gb
dell,170,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","this dell computer was used before and will show normal signs of use and handling, everything is guaranteed to work as it should",other,intel core i5 7th generation,,unknown,notebook/laptop,1920,1080,windows,ssd,128,gb,128,gb,2,8,gb
dell,218,$,black,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good working used condition - wear marks from use - if necessary we have installed a new palmrest skin. ac adapter (power cord) included.,intel,intel core i5 8th generation,1.6,GHz,notebook/laptop,1920,1080,unknown,ssd,,unknown,512,gb,15.6,16,gb
dell,130,$,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","tested and guaranteed by certified dell laptop technicians. this laptop was used before and will show normal signs of use and handling with nothing major, the screen is not cracked and the computer is intact, the pc laptop is fully tested and working normally. a brand new copy of windows 10 pro is installed and active. ready for use out of the box with an authentic charger",intel,intel celeron,1.1,GHz,notebook/laptop,1366,768,windows,ssd,128,gb,128,gb,11,4,gb
acer,40,$,gray,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","acer chromebook c731 in certified excellent, used condition.displays light to normal signs of wear; no cracks, deep scuffs, or dents.features 4gb ram, 16gb ssd, hdmi, wi-fi connectivity, and a built-in webcam.ideal for students, professionals, or casual browsing.",intel,intel celeron n,1.6,GHz,notebook/laptop,1366,768,chrome,ssd,16,gb,16,gb,11.6,4,gb
dell,393,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.2,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,,unknown,14,,unknown
dell,625,$,other,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",undefined,other,intel core i7 13th generation,4.4,GHz,other,2560,1600,windows,ssd,1,tb,1,tb,16,32,gb
dell,315,$,silver,,Undefined,Undefined,undefined,amd,amd ryzen 5,2.3,GHz,notebook/laptop,1920,1080,windows,ssd,,unknown,512,gb,14,16,gb
dell,200,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","this dell computer was used before and will show normal signs of use and handling, everything is guaranteed to work as it should",intel,intel core i5 6th generation,2.6,GHz,notebook/laptop,1920,1080,windows,ssd,256,gb,256,gb,12.5,8,gb
other,227.4,$,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",s. details,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
hp,300,$,silver,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,i5-8365u,1.6,GHz,notebook/laptop,3000,2000,unknown,ssd,,unknown,512,gb,13,16,gb
