Model_Key,SKU,Brand,Processor_Family,Screen_Bucket,Manufacturing_Cost_USD,Warranty_Failure_Motherboard_%,Warranty_Failure_Display_%,Warranty_Failure_Battery_%,Warranty_Failure_Keyboard_%,Warranty_Failure_Storage_%,Warranty_Failure_Chassis_%,Listing_Count,Avg_Resale_Price,Median_Resale_Price,Max_Resale_Price,Resale_Value_Retention_%,Swappable_Failure_Avg_%,Circularity_Score
other_i7_mid,SKU-OTHER_I7_MID,other,i7,mid,500,5.0,6.0,9.8,3.8,4.1,4.0,38,1722.407894736842,2148.0,3098.0,344.5,5.5,100.0
other_i3_mid,SKU-OTHER_I3_MID,other,i3,mid,350,2.1,6.7,9.4,4.6,4.1,1.4,40,399.1095,395.9,684.0,114.0,5.2,49.8
lenovo_i5_mid,SKU-LENOVO_I5_MID,lenovo,i5,mid,350,2.8,7.1,8.4,4.5,1.1,6.8,200,336.1488,323.35,1135.0,96.0,5.6,49.3
lenovo_i3_mid,SKU-LENOVO_I3_MID,lenovo,i3,mid,350,6.7,7.8,11.7,2.3,3.0,2.8,28,407.305,438.4,673.5,116.4,5.5,48.4
other_i5_standard,SKU-OTHER_I5_STANDARD,other,i5,standard,420,6.1,4.6,11.2,2.2,2.6,5.5,35,515.3,462.0,2280.0,122.7,5.2,47.1
lenovo_i3_standard,SKU-LENOVO_I3_STANDARD,lenovo,i3,standard,420,6.0,3.3,9.6,4.2,4.5,3.8,38,452.16,521.0,829.5,107.7,5.1,43.0
hp_celeron_mid,SKU-HP_CELERON_MID,hp,celeron,mid,350,3.6,3.4,14.9,2.6,3.1,6.3,30,118.12866666666667,105.47,255.0,33.8,6.1,40.3
lenovo_i7_mid,SKU-LENOVO_I7_MID,lenovo,i7,mid,500,12.8,2.3,11.7,4.9,4.8,6.4,45,410.2022222222222,335.0,1454.0,82.0,6.0,39.4
dell_i5_mid,SKU-DELL_I5_MID,dell,i5,mid,350,6.9,7.7,9.6,4.0,1.6,1.9,510,331.8750588235294,326.0,1483.0,94.8,5.0,38.1
dell_i3_mid,SKU-DELL_I3_MID,dell,i3,mid,350,6.2,6.2,8.8,5.2,3.6,4.4,15,187.692,99.94,1050.0,53.6,5.6,36.3
dell_i5_small,SKU-DELL_I5_SMALL,dell,i5,small,280,5.7,1.3,8.5,3.5,1.2,2.7,24,434.11875000000003,406.0,1363.0,155.0,3.4,35.4
dell_other_mid,SKU-DELL_OTHER_MID,dell,other,mid,350,10.2,7.1,10.2,1.9,4.6,4.2,33,203.85090909090908,214.8,550.0,58.2,5.6,32.8
microsoft_i5_mid,SKU-MICROSOFT_I5_MID,microsoft,i5,mid,350,3.8,6.6,3.7,5.9,4.1,2.2,44,274.05727272727273,194.55,799.0,78.3,4.5,32.6
dell_celeron_small,SKU-DELL_CELERON_SMALL,dell,celeron,small,280,2.4,7.4,6.9,4.3,2.2,4.9,45,103.34933333333333,75.0,549.0,36.9,5.1,31.5
hp_other_mid,SKU-HP_OTHER_MID,hp,other,mid,350,6.4,1.8,11.3,5.4,2.0,5.0,19,176.43526315789472,100.0,759.0,50.4,5.1,30.0
lenovo_i5_standard,SKU-LENOVO_I5_STANDARD,lenovo,i5,standard,420,6.7,1.8,10.8,4.1,2.3,1.4,39,400.34871794871793,230.0,1701.0,95.3,4.1,28.7
hp_i5_standard,SKU-HP_I5_STANDARD,hp,i5,standard,420,7.1,2.9,10.5,2.8,2.1,4.3,44,310.73068181818184,199.5,999.0,74.0,4.5,27.9
other_i5_mid,SKU-OTHER_I5_MID,other,i5,mid,350,7.6,3.0,8.5,1.7,2.2,3.2,85,401.92141176470585,377.8,1701.0,114.8,3.7,27.7
other_i5_small,SKU-OTHER_I5_SMALL,other,i5,small,280,10.2,4.8,3.8,5.2,2.3,2.1,23,360.90000000000003,253.1,789.0,128.9,3.6,26.8
other_celeron_standard,SKU-OTHER_CELERON_STANDARD,other,celeron,standard,420,10.7,6.3,6.7,4.6,2.5,5.8,23,189.90173913043478,160.0,636.0,45.2,5.2,25.1
hp_i5_mid,SKU-HP_I5_MID,hp,i5,mid,350,6.0,1.7,9.2,3.2,1.5,4.0,50,267.7492,198.95,950.0,76.5,3.9,23.3
dell_other_standard,SKU-DELL_OTHER_STANDARD,dell,other,standard,420,2.5,5.1,9.1,1.1,3.0,2.4,21,202.0009523809524,160.0,750.0,48.1,4.1,23.2
hp_i7_standard,SKU-HP_I7_STANDARD,hp,i7,standard,570,7.0,1.5,5.6,1.8,4.7,5.8,34,453.69117647058823,365.0,1200.0,79.6,3.9,22.8
dell_i5_standard,SKU-DELL_I5_STANDARD,dell,i5,standard,420,7.9,6.5,4.8,3.6,3.4,1.3,73,349.96849315068494,350.0,882.0,83.3,3.9,22.7
dell_i7_large,SKU-DELL_I7_LARGE,dell,i7,large,670,14.5,2.2,9.2,2.9,4.7,1.8,20,660.1,637.5,980.0,98.5,4.2,21.8
other_pentium_standard,SKU-OTHER_PENTIUM_STANDARD,other,pentium,standard,420,9.1,5.8,11.5,2.1,3.8,2.9,15,83.36333333333333,22.06,300.0,19.8,5.2,21.4
dell_i7_standard,SKU-DELL_I7_STANDARD,dell,i7,standard,570,13.9,2.2,3.6,5.7,4.9,5.9,63,434.5231746031746,329.5,2088.0,76.2,4.5,20.7
lenovo_other_mid,SKU-LENOVO_OTHER_MID,lenovo,other,mid,350,12.6,4.9,7.8,2.2,1.4,6.4,18,186.21666666666667,142.0,530.0,53.2,4.5,17.2
lenovo_other_small,SKU-LENOVO_OTHER_SMALL,lenovo,other,small,280,13.7,5.4,6.1,2.7,3.9,6.4,17,88.30588235294118,65.0,200.0,31.5,4.9,15.6
hp_other_standard,SKU-HP_OTHER_STANDARD,hp,other,standard,420,13.5,6.5,8.8,1.4,1.6,6.4,17,120.79294117647059,107.56,300.0,28.8,4.9,15.2
microsoft_i7_mid,SKU-MICROSOFT_I7_MID,microsoft,i7,mid,500,13.8,1.1,3.9,4.3,1.0,2.0,15,724.7866666666666,899.0,1302.0,145.0,2.5,14.4
hp_celeron_small,SKU-HP_CELERON_SMALL,hp,celeron,small,280,12.5,7.3,7.6,1.6,1.9,4.3,32,68.2934375,52.0,174.0,24.4,4.5,11.1
lenovo_celeron_small,SKU-LENOVO_CELERON_SMALL,lenovo,celeron,small,280,9.8,7.5,4.9,2.0,1.2,3.5,44,75.92204545454545,53.5,209.0,27.1,3.8,7.2
hp_i7_mid,SKU-HP_I7_MID,hp,i7,mid,500,17.7,7.0,3.1,3.6,2.7,2.3,30,356.8546666666667,307.25,908.5,71.4,3.7,6.8
lenovo_i7_standard,SKU-LENOVO_I7_STANDARD,lenovo,i7,standard,570,19.3,2.7,4.3,3.4,4.9,2.5,24,358.2,313.4,695.0,62.8,3.6,2.2
acer_celeron_small,SKU-ACER_CELERON_SMALL,acer,celeron,small,280,8.8,4.0,4.2,1.5,1.1,5.8,35,63.85142857142858,50.47,375.2,22.8,3.3,1.9
dell_i7_mid,SKU-DELL_I7_MID,dell,i7,mid,500,18.0,2.5,4.6,1.9,2.2,4.1,109,354.71211009174317,280.0,1900.0,70.9,3.1,0.0
