Model_Key,SKU,Brand,Processor_Family,Screen_Bucket,Manufacturing_Cost_USD,Warranty_Failure_Motherboard_%,Warranty_Failure_Display_%,Warranty_Failure_Battery_%,Warranty_Failure_Keyboard_%,Warranty_Failure_Storage_%,Warranty_Failure_Chassis_%
dell_i5_mid,SKU-DELL_I5_MID,dell,i5,mid,350,6.9,7.7,9.6,4.0,1.6,1.9
lenovo_i5_mid,SKU-LENOVO_I5_MID,lenovo,i5,mid,350,2.8,7.1,8.4,4.5,1.1,6.8
dell_i7_mid,SKU-DELL_I7_MID,dell,i7,mid,500,18.0,2.5,4.6,1.9,2.2,4.1
other_i5_mid,SKU-OTHER_I5_MID,other,i5,mid,350,7.6,3.0,8.5,1.7,2.2,3.2
dell_i5_standard,SKU-DELL_I5_STANDARD,dell,i5,standard,420,7.9,6.5,4.8,3.6,3.4,1.3
dell_i7_standard,SKU-DELL_I7_STANDARD,dell,i7,standard,570,13.9,2.2,3.6,5.7,4.9,5.9
hp_i5_mid,SKU-HP_I5_MID,hp,i5,mid,350,6.0,1.7,9.2,3.2,1.5,4.0
dell_celeron_small,SKU-DELL_CELERON_SMALL,dell,celeron,small,280,2.4,7.4,6.9,4.3,2.2,4.9
lenovo_i7_mid,SKU-LENOVO_I7_MID,lenovo,i7,mid,500,12.8,2.3,11.7,4.9,4.8,6.4
lenovo_celeron_small,SKU-LENOVO_CELERON_SMALL,lenovo,celeron,small,280,9.8,7.5,4.9,2.0,1.2,3.5
hp_i5_standard,SKU-HP_I5_STANDARD,hp,i5,standard,420,7.1,2.9,10.5,2.8,2.1,4.3
microsoft_i5_mid,SKU-MICROSOFT_I5_MID,microsoft,i5,mid,350,3.8,6.6,3.7,5.9,4.1,2.2
other_i3_mid,SKU-OTHER_I3_MID,other,i3,mid,350,2.1,6.7,9.4,4.6,4.1,1.4
lenovo_i5_standard,SKU-LENOVO_I5_STANDARD,lenovo,i5,standard,420,6.7,1.8,10.8,4.1,2.3,1.4
lenovo_i3_standard,SKU-LENOVO_I3_STANDARD,lenovo,i3,standard,420,6.0,3.3,9.6,4.2,4.5,3.8
other_i7_mid,SKU-OTHER_I7_MID,other,i7,mid,500,5.0,6.0,9.8,3.8,4.1,4.0
acer_celeron_small,SKU-ACER_CELERON_SMALL,acer,celeron,small,280,8.8,4.0,4.2,1.5,1.1,5.8
other_i5_standard,SKU-OTHER_I5_STANDARD,other,i5,standard,420,6.1,4.6,11.2,2.2,2.6,5.5
hp_i7_standard,SKU-HP_I7_STANDARD,hp,i7,standard,570,7.0,1.5,5.6,1.8,4.7,5.8
dell_other_mid,SKU-DELL_OTHER_MID,dell,other,mid,350,10.2,7.1,10.2,1.9,4.6,4.2
hp_celeron_small,SKU-HP_CELERON_SMALL,hp,celeron,small,280,12.5,7.3,7.6,1.6,1.9,4.3
hp_i7_mid,SKU-HP_I7_MID,hp,i7,mid,500,17.7,7.0,3.1,3.6,2.7,2.3
hp_celeron_mid,SKU-HP_CELERON_MID,hp,celeron,mid,350,3.6,3.4,14.9,2.6,3.1,6.3
lenovo_i3_mid,SKU-LENOVO_I3_MID,lenovo,i3,mid,350,6.7,7.8,11.7,2.3,3.0,2.8
dell_i5_small,SKU-DELL_I5_SMALL,dell,i5,small,280,5.7,1.3,8.5,3.5,1.2,2.7
lenovo_i7_standard,SKU-LENOVO_I7_STANDARD,lenovo,i7,standard,570,19.3,2.7,4.3,3.4,4.9,2.5
other_celeron_standard,SKU-OTHER_CELERON_STANDARD,other,celeron,standard,420,10.7,6.3,6.7,4.6,2.5,5.8
other_i5_small,SKU-OTHER_I5_SMALL,other,i5,small,280,10.2,4.8,3.8,5.2,2.3,2.1
dell_other_standard,SKU-DELL_OTHER_STANDARD,dell,other,standard,420,2.5,5.1,9.1,1.1,3.0,2.4
dell_i7_large,SKU-DELL_I7_LARGE,dell,i7,large,670,14.5,2.2,9.2,2.9,4.7,1.8
hp_other_mid,SKU-HP_OTHER_MID,hp,other,mid,350,6.4,1.8,11.3,5.4,2.0,5.0
lenovo_other_mid,SKU-LENOVO_OTHER_MID,lenovo,other,mid,350,12.6,4.9,7.8,2.2,1.4,6.4
lenovo_other_small,SKU-LENOVO_OTHER_SMALL,lenovo,other,small,280,13.7,5.4,6.1,2.7,3.9,6.4
hp_other_standard,SKU-HP_OTHER_STANDARD,hp,other,standard,420,13.5,6.5,8.8,1.4,1.6,6.4
microsoft_i7_mid,SKU-MICROSOFT_I7_MID,microsoft,i7,mid,500,13.8,1.1,3.9,4.3,1.0,2.0
other_pentium_standard,SKU-OTHER_PENTIUM_STANDARD,other,pentium,standard,420,9.1,5.8,11.5,2.1,3.8,2.9
dell_i3_mid,SKU-DELL_I3_MID,dell,i3,mid,350,6.2,6.2,8.8,5.2,3.6,4.4
