listing_id,product_family_key,brand,device_type,price_usd,condition_grade,condition_tier,gpu_brand,processor_brand,processor_family,processor_generation,processor_speed_ghz,os,storage_type,hdd_capacity_gb,ssd_capacity_gb,total_storage_gb,storage_tier,ram_gb,ram_tier,screen_size_inch,screen_tier,display_width_px,display_height_px,color,feature_count,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_wifi
1,Other/Unbranded_Other/Unspecified_8GB_2TB_14-16in,Other/Unbranded,Notebook/Laptop,303.8,New,New,Intel,Other,Other/Unspecified,,3.8,Windows,SSD,512.0,1000.0,1512.0,2TB,8.0,8GB,14.0,14-16in,2160.0,1440.0,Gray,3,False,True,False,False
2,Dell_i7_Unk_2TB_14-16in,Dell,Notebook/Laptop,400.0,Refurbished - Very Good,Refurbished,Intel,Intel,i7,8.0,4.2,Windows,SSD,2000.0,,2000.0,2TB,,Unk,14.0,14-16in,1920.0,1080.0,Black,8,False,True,True,True
3,Dell_i5_16GB_1TB_14-16in,Dell,Notebook/Laptop,175.0,Used,Used,Intel,Intel,i5,,2.4,Windows,SSD,500.0,500.0,1000.0,1TB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Black,8,True,True,True,True
4,HP_celeron_4GB_16GB_Sub-12in,HP,Notebook/Laptop,85.0,Refurbished - Good,Refurbished,Intel,Intel,celeron,,2.4,Chrome,EMMC,16.0,,16.0,16GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,5,False,False,True,True
5,Dell_i5_8GB_256GB_12-14in,Dell,Notebook/Laptop,101.25,Refurbished - Good,Refurbished,Other,Intel,i5,6.0,1.4,Windows,SSD,,256.0,256.0,256GB,8.0,8GB,12.5,12-14in,1366.0,768.0,Other,4,False,False,False,True
6,Acer_celeron_4GB_16GB_Sub-12in,Acer,Notebook/Laptop,50.0,Unknown,Unknown,Other,Intel,celeron,,1.6,Chrome,SSD,,16.0,16.0,16GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,2,True,False,True,False
7,HP_celeron_4GB_32GB_Sub-12in,HP,Notebook/Laptop,39.6,Unknown,Unknown,Other,Intel,celeron,,1.6,Chrome,SSD,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,,,Black,2,False,False,True,False
8,Acer_celeron_2GB_16GB_Sub-12in,Acer,Notebook/Laptop,35.0,Unknown,Unknown,Other,Intel,celeron,,1.0,Chrome,Unknown,16.0,,16.0,16GB,2.0,2GB,11.6,Sub-12in,,,Gray,0,False,False,False,False
9,Dell_i7_16GB_2TB_14-16in,Dell,Notebook/Laptop,280.0,Refurbished - Excellent,Refurbished,Other,Intel,i7,,2.8,Windows,SSD,512.0,500.0,1012.0,2TB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Black,1,False,False,False,True
10,HP_i3_8GB_64GB_14-16in,HP,Notebook/Laptop,125.0,Unknown,Unknown,Intel,Intel,i3,10.0,2.1,Chrome,EMMC,,64.0,64.0,64GB,8.0,8GB,14.0,14-16in,1920.0,1080.0,Silver,6,True,True,True,True
