sku_id,product_family_key,brand,component,bom_cost_usd,cost_share_pct,warranty_claim_rate_pct
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Motherboard,189.41,35.6,7.72
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Display Panel,107.76,20.2,2.47
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Battery,44.36,8.3,3.42
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,RAM Module,34.75,6.5,0.85
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Storage (SSD/HDD),51.16,9.6,2.01
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Keyboard/Chassis,74.91,14.1,2.91
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Power Adapter,30.24,5.7,2.19
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,TOTAL / MSRP,532.4,100.0,
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Motherboard,207.14,30.9,8.89
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Display Panel,133.05,19.9,2.83
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Battery,48.41,7.2,3.68
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,RAM Module,41.08,6.1,1.1
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Storage (SSD/HDD),63.77,9.5,2.1
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Keyboard/Chassis,88.32,13.2,3.06
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Power Adapter,42.41,6.3,2.83
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,TOTAL / MSRP,670.0,100.0,
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Motherboard,224.8,34.5,10.38
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Display Panel,140.25,21.5,2.33
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Battery,57.01,8.7,4.13
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,RAM Module,41.48,6.4,0.87
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Storage (SSD/HDD),63.83,9.8,1.88
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Keyboard/Chassis,95.06,14.6,3.21
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Power Adapter,42.46,6.5,2.61
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,TOTAL / MSRP,652.0,100.0,
SKU-0004,AUO_Unknown_Unk_Unk_Unk,AUO,Motherboard,165.22,31.0,8.95
SKU-0004,AUO_Unknown_Unk_Unk_Unk,AUO,Display Panel,119.27,22.4,2.33
SKU-0004,AUO_Unknown_Unk_Unk_Unk,AUO,Battery,39.35,7.4,4.26
SKU-0004,AUO_Unknown_Unk_Unk_Unk,AUO,RAM Module,30.26,5.7,0.93
SKU-0004,AUO_Unknown_Unk_Unk_Unk,AUO,Storage (SSD/HDD),52.47,9.9,1.72
SKU-0004,AUO_Unknown_Unk_Unk_Unk,AUO,Keyboard/Chassis,76.57,14.4,2.83
SKU-0004,AUO_Unknown_Unk_Unk_Unk,AUO,Power Adapter,29.64,5.6,2.58
SKU-0004,AUO_Unknown_Unk_Unk_Unk,AUO,TOTAL / MSRP,532.4,100.0,
SKU-0005,LG_Unknown_Unk_Unk_Unk,LG,Motherboard,173.4,32.6,5.69
SKU-0005,LG_Unknown_Unk_Unk_Unk,LG,Display Panel,112.34,21.1,2.2
SKU-0005,LG_Unknown_Unk_Unk_Unk,LG,Battery,39.92,7.5,4.47
SKU-0005,LG_Unknown_Unk_Unk_Unk,LG,RAM Module,34.47,6.5,0.95
SKU-0005,LG_Unknown_Unk_Unk_Unk,LG,Storage (SSD/HDD),54.81,10.3,1.7
SKU-0005,LG_Unknown_Unk_Unk_Unk,LG,Keyboard/Chassis,67.19,12.6,3.01
SKU-0005,LG_Unknown_Unk_Unk_Unk,LG,Power Adapter,33.17,6.2,2.33
SKU-0005,LG_Unknown_Unk_Unk_Unk,LG,TOTAL / MSRP,532.4,100.0,
SKU-0006,Dell_i5_Unk_512GB_14-16in,Dell,Motherboard,235.42,33.3,5.43
SKU-0006,Dell_i5_Unk_512GB_14-16in,Dell,Display Panel,147.61,20.9,2.5
SKU-0006,Dell_i5_Unk_512GB_14-16in,Dell,Battery,62.1,8.8,3.72
SKU-0006,Dell_i5_Unk_512GB_14-16in,Dell,RAM Module,38.56,5.5,0.93
SKU-0006,Dell_i5_Unk_512GB_14-16in,Dell,Storage (SSD/HDD),73.15,10.4,2.02
SKU-0006,Dell_i5_Unk_512GB_14-16in,Dell,Keyboard/Chassis,93.74,13.3,3.15
SKU-0006,Dell_i5_Unk_512GB_14-16in,Dell,Power Adapter,44.29,6.3,2.4
SKU-0006,Dell_i5_Unk_512GB_14-16in,Dell,TOTAL / MSRP,706.0,100.0,
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Samsung,Motherboard,191.82,36.0,6.88
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Samsung,Display Panel,106.37,20.0,2.57
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Samsung,Battery,44.39,8.3,4.37
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Samsung,RAM Module,29.86,5.6,1.06
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Samsung,Storage (SSD/HDD),56.84,10.7,2.11
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Samsung,Keyboard/Chassis,80.87,15.2,3.34
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Samsung,Power Adapter,33.97,6.4,2.54
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Samsung,TOTAL / MSRP,532.4,100.0,
SKU-0008,Dell_i5_Unk_1TB_14-16in,Dell,Motherboard,267.6,34.4,13.9
SKU-0008,Dell_i5_Unk_1TB_14-16in,Dell,Display Panel,166.0,21.3,2.67
SKU-0008,Dell_i5_Unk_1TB_14-16in,Dell,Battery,61.05,7.8,4.47
SKU-0008,Dell_i5_Unk_1TB_14-16in,Dell,RAM Module,43.52,5.6,1.12
SKU-0008,Dell_i5_Unk_1TB_14-16in,Dell,Storage (SSD/HDD),75.81,9.7,2.26
SKU-0008,Dell_i5_Unk_1TB_14-16in,Dell,Keyboard/Chassis,101.53,13.1,3.04
SKU-0008,Dell_i5_Unk_1TB_14-16in,Dell,Power Adapter,51.3,6.6,2.26
SKU-0008,Dell_i5_Unk_1TB_14-16in,Dell,TOTAL / MSRP,778.0,100.0,
SKU-0009,Dell_i5_Unk_256GB_12-14in,Dell,Motherboard,234.62,35.0,7.85
SKU-0009,Dell_i5_Unk_256GB_12-14in,Dell,Display Panel,148.65,22.2,2.51
SKU-0009,Dell_i5_Unk_256GB_12-14in,Dell,Battery,50.86,7.6,4.57
SKU-0009,Dell_i5_Unk_256GB_12-14in,Dell,RAM Module,43.47,6.5,0.98
SKU-0009,Dell_i5_Unk_256GB_12-14in,Dell,Storage (SSD/HDD),68.03,10.2,2.0
SKU-0009,Dell_i5_Unk_256GB_12-14in,Dell,Keyboard/Chassis,89.69,13.4,2.57
SKU-0009,Dell_i5_Unk_256GB_12-14in,Dell,Power Adapter,44.18,6.6,2.48
SKU-0009,Dell_i5_Unk_256GB_12-14in,Dell,TOTAL / MSRP,670.0,100.0,
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Lenovo,Motherboard,247.31,36.9,7.3
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Lenovo,Display Panel,161.56,24.1,2.18
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Lenovo,Battery,57.36,8.6,3.78
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Lenovo,RAM Module,39.35,5.9,1.1
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Lenovo,Storage (SSD/HDD),61.6,9.2,2.07
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Lenovo,Keyboard/Chassis,89.19,13.3,2.82
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Lenovo,Power Adapter,41.78,6.2,2.65
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Lenovo,TOTAL / MSRP,670.0,100.0,
SKU-0011,Dell_i5_8GB_256GB_14-16in,Dell,Motherboard,217.47,32.3,7.1
SKU-0011,Dell_i5_8GB_256GB_14-16in,Dell,Display Panel,147.97,22.0,2.72
SKU-0011,Dell_i5_8GB_256GB_14-16in,Dell,Battery,56.97,8.5,4.47
SKU-0011,Dell_i5_8GB_256GB_14-16in,Dell,RAM Module,40.98,6.1,0.98
SKU-0011,Dell_i5_8GB_256GB_14-16in,Dell,Storage (SSD/HDD),66.78,9.9,2.03
SKU-0011,Dell_i5_8GB_256GB_14-16in,Dell,Keyboard/Chassis,89.43,13.3,2.58
SKU-0011,Dell_i5_8GB_256GB_14-16in,Dell,Power Adapter,37.33,5.6,2.52
SKU-0011,Dell_i5_8GB_256GB_14-16in,Dell,TOTAL / MSRP,672.4,100.0,
SKU-0012,Dell_i7_16GB_512GB_14-16in,Dell,Motherboard,354.1,36.3,11.1
SKU-0012,Dell_i7_16GB_512GB_14-16in,Dell,Display Panel,220.35,22.6,2.67
SKU-0012,Dell_i7_16GB_512GB_14-16in,Dell,Battery,75.22,7.7,4.35
SKU-0012,Dell_i7_16GB_512GB_14-16in,Dell,RAM Module,61.34,6.3,0.93
SKU-0012,Dell_i7_16GB_512GB_14-16in,Dell,Storage (SSD/HDD),96.08,9.9,2.11
SKU-0012,Dell_i7_16GB_512GB_14-16in,Dell,Keyboard/Chassis,134.9,13.8,2.77
SKU-0012,Dell_i7_16GB_512GB_14-16in,Dell,Power Adapter,60.36,6.2,2.33
SKU-0012,Dell_i7_16GB_512GB_14-16in,Dell,TOTAL / MSRP,974.8,100.0,
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,Motherboard,189.34,35.6,8.43
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,Display Panel,123.17,23.1,2.14
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,Battery,39.13,7.4,3.77
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,RAM Module,31.78,6.0,0.88
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,Storage (SSD/HDD),51.6,9.7,1.98
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,Keyboard/Chassis,81.23,15.3,3.35
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,Power Adapter,32.75,6.2,2.5
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,TOTAL / MSRP,532.4,100.0,
SKU-0014,Dell_i5_16GB_512GB_14-16in,Dell,Motherboard,286.82,37.0,11.3
SKU-0014,Dell_i5_16GB_512GB_14-16in,Dell,Display Panel,185.46,23.9,2.56
SKU-0014,Dell_i5_16GB_512GB_14-16in,Dell,Battery,61.47,7.9,4.05
SKU-0014,Dell_i5_16GB_512GB_14-16in,Dell,RAM Module,49.47,6.4,1.05
SKU-0014,Dell_i5_16GB_512GB_14-16in,Dell,Storage (SSD/HDD),70.81,9.1,1.76
SKU-0014,Dell_i5_16GB_512GB_14-16in,Dell,Keyboard/Chassis,111.04,14.3,2.85
SKU-0014,Dell_i5_16GB_512GB_14-16in,Dell,Power Adapter,49.69,6.4,2.14
SKU-0014,Dell_i5_16GB_512GB_14-16in,Dell,TOTAL / MSRP,774.8,100.0,
