product_family_key,brand,listing_count,avg_market_price_usd,median_market_price_usd,pct_new,pct_used,pct_refurbished,pct_end_of_life,refurb_viability_pct,avg_ram_gb,avg_storage_gb,common_screen_tier,processor_family,sku_id,estimated_msrp_usd,weighted_failure_rate_pct,component_reliability_score,parts_circularity_raw,parts_circularity_score,top_failing_component,highest_resale_component,resale_value_retention_pct,resale_value_retention_score,circularity_score,circularity_tier,buyback_refurb_recommended
Other/Unbranded_i7_Unk_256GB_14-16in,Other/Unbranded,7,2145.71,2144.0,0.0,0.0,100.0,0.0,100.0,,240.0,14-16in,i7,SKU-0078,870.0,5.41788,78.32848,32.2881,58.11858,Motherboard,Display Panel,150.0,100.0,86.2,High,True
Microsoft_i7_Unk_256GB_12-14in,Microsoft,5,1046.4,1047.0,0.0,0.0,100.0,0.0,100.0,,256.0,12-14in,i7,SKU-0113,872.4,5.55056,77.79776,30.9088,55.63584,Motherboard,Display Panel,119.94,100.0,85.6,High,True
Other/Unbranded_i5_Unk_1TB_14-16in,Other/Unbranded,6,656.83,647.25,0.0,33.33333333333333,66.66666666666666,0.0,66.66666666666666,,960.0,14-16in,i5,SKU-0088,778.0,4.77051,80.91796,32.8906,59.20308,Motherboard,Display Panel,84.43,84.42587832047987,75.0,High,True
Lenovo_celeron_Unk_256GB_14-16in,Lenovo,5,631.1,639.0,0.0,60.0,40.0,0.0,40.0,,240.0,14-16in,celeron,SKU-0107,420.0,5.20911,79.16356,31.6662,56.99916,Motherboard,RAM Module,150.0,100.0,74.2,High,True
Other/Unbranded_celeron_4GB_256GB_14-16in,Other/Unbranded,5,230.72,159.0,80.0,20.0,0.0,0.0,80.0,4.0,256.0,14-16in,celeron,SKU-0123,390.4,4.21608,83.13568000000001,33.333999999999996,60.0012,Motherboard,Display Panel,59.1,59.09938524590164,69.5,Medium,True
Lenovo_i3_Unk_256GB_14-16in,Lenovo,7,559.53,565.0,14.285714285714285,85.71428571428571,0.0,0.0,14.285714285714285,,244.57,14-16in,i3,SKU-0076,552.4,5.17956,79.28175999999999,31.328400000000002,56.39112000000001,Motherboard,Display Panel,101.29,100.0,69.0,Medium,True
Other/Unbranded_celeron_8GB_512GB_14-16in,Other/Unbranded,7,214.0,193.0,100.0,0.0,0.0,0.0,100.0,8.0,512.0,14-16in,celeron,SKU-0068,460.8,5.503570000000001,77.98572,30.8491,55.52838,Motherboard,Display Panel,46.44,46.44097222222222,66.9,Medium,True
Lenovo_i3_Unk_1TB_14-16in,Lenovo,10,610.8,627.0,0.0,90.0,10.0,0.0,10.0,,830.4,14-16in,i3,SKU-0051,658.0,4.257,82.97200000000001,31.6444,56.959920000000004,Motherboard,Display Panel,92.83,92.82674772036474,66.6,Medium,True
Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,1291,335.24,203.5,34.23702556158017,30.20914020139427,25.019364833462433,0.8520526723470179,59.876065065840436,,,Unk,Unknown,SKU-0001,532.4,4.31447,82.74212,32.1703,57.90654,Motherboard,Display Panel,62.97,62.9673224618683,66.3,Medium,True
Lenovo_i3_8GB_256GB_14-16in,Lenovo,7,276.51,280.0,28.57142857142857,14.285714285714285,14.285714285714285,0.0,57.14285714285714,8.0,253.71,14-16in,i3,SKU-0074,552.4,3.73694,85.05224,33.7491,60.74838,Motherboard,Display Panel,50.06,50.056894589841725,62.4,Medium,False
