sku_id,product_family_key,brand_x,component,bom_cost_usd,cost_share_pct,warranty_claim_rate_pct,weighted_fail,component_resale_value_usd,resale_pct_of_bom_cost,brand_y,circularity_tier
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Motherboard,189.41,35.6,7.72,2.74832,30.5,16.1,Other/Unbranded,Medium
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Display Panel,107.76,20.2,2.47,0.49894,75.32,69.9,Other/Unbranded,Medium
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Battery,44.36,8.3,3.42,0.28386,10.11,22.8,Other/Unbranded,Medium
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,RAM Module,34.75,6.5,0.85,0.05525,17.93,51.6,Other/Unbranded,Medium
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Storage (SSD/HDD),51.16,9.6,2.01,0.19296,20.05,39.2,Other/Unbranded,Medium
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Keyboard/Chassis,74.91,14.1,2.91,0.41031,9.74,13.0,Other/Unbranded,Medium
SKU-0001,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Power Adapter,30.24,5.7,2.19,0.12483,7.83,25.9,Other/Unbranded,Medium
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Motherboard,207.14,30.9,8.89,2.74701,33.56,16.2,Dell,Low
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Display Panel,133.05,19.9,2.83,0.56317,85.15,64.0,Dell,Low
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Battery,48.41,7.2,3.68,0.26496000000000003,8.91,18.4,Dell,Low
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,RAM Module,41.08,6.1,1.1,0.0671,16.68,40.6,Dell,Low
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Storage (SSD/HDD),63.77,9.5,2.1,0.1995,24.04,37.7,Dell,Low
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Keyboard/Chassis,88.32,13.2,3.06,0.40392,11.39,12.9,Dell,Low
SKU-0002,Dell_i5_Unk_256GB_14-16in,Dell,Power Adapter,42.41,6.3,2.83,0.17829,11.87,28.0,Dell,Low
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Motherboard,224.8,34.5,10.38,3.5811,46.08,20.5,Dell,Medium
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Display Panel,140.25,21.5,2.33,0.50095,84.43,60.2,Dell,Medium
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Battery,57.01,8.7,4.13,0.35930999999999996,10.66,18.7,Dell,Medium
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,RAM Module,41.48,6.4,0.87,0.05568,21.4,51.6,Dell,Medium
SKU-0003,Dell_i5_Unk_128GB_14-16in,Dell,Storage (SSD/HDD),63.83,9.8,1.88,0.18424,21.83,34.2,Dell,Medium
